2017-04-04 17:10:02,358 - INFO - Reading from log file /etc/osg_display/osg_display.conf.
2017-04-04 17:10:02,359 - DEBUG - Setting script timeout to 3600.
2017-04-04 17:10:02,374 - INFO - Successfully connected to Gratia database
2017-04-04 17:10:16,187 - INFO - Gratia returned 199 results for jobs
2017-04-04 17:10:16,187 - DEBUG - Job result dump:
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-04 16:00:00 as it is over an hour old.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-04 16:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-04 11:00:00 as it is over an hour old.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-04 11:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-03 07:00:00 as it is over an hour old.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-03 00:00:00 as it is over an hour old.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-03 17:00:00 as it is over an hour old.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-03 10:00:00 as it is over an hour old.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-03 15:00:00 as it is over an hour old.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-03 08:00:00 as it is over an hour old.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-03 18:00:00 as it is over an hour old.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-03 05:00:00 as it is over an hour old.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-02 08:00:00 as it is over an hour old.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-02 15:00:00 as it is over an hour old.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-04 04:00:00 as it is over an hour old.
